start_station,count
Massachusetts Ave & Dupont Circle NW,358038
Columbus Circle / Union Station,357886
15th & P St NW,258097
Lincoln Memorial,244777
Jefferson Dr & 14th St SW,230084
New Hampshire Ave & T St NW,207186
Thomas Circle,207070
14th & V St NW,206474
17th & Corcoran St NW,202221
Eastern Market Metro / Pennsylvania Ave & 7th St SE,197364
Adams Mill & Columbia Rd NW,177580
14th & Rhode Island Ave NW,166352
8th & H St NW,164046
North Capitol St & F St NW,161734
20th St & Florida Ave NW,160864
5th & K St NW,158916
New York Ave & 15th St NW,147671
14th & R St NW,146917
16th & Harvard St NW,146916
21st & M St NW,145203
